classifier,ulevel,dataset,distance,cmp,acc,train_duration,test_duration
GNB,0.1,Trace,fots,simple_cmp,0.76,9233.03,1395.66
GNB,0.1,SmoothSubspace,fots,simple_cmp,0.56,7542.5,353.03
GNB,0.1,BME,fots,simple_cmp,0.38,7811.66,2502.4
GNB,0.1,CBF,fots,simple_cmp,0.6722222222222223,7800.54,7251.72
GNB,0.1,UMD,fots,simple_cmp,0.3541666666666667,7436.38,1539.23
GNB,0.1,SyntheticControl,fots,simple_cmp,0.3333333333333333,7945.1,726.43
GNB,0.1,ShapeletSim,fots,simple_cmp,0.5333333333333333,9770.5,7196.5
GNB,0.1,Chinatown,fots,simple_cmp,0.8279883381924198,7298.66,1652.56
GNB,0.1,ECG200,hbd,simple_cmp,0.78,620.8,24.78
GNB,0.1,TwoLeadECG,hbd,simple_cmp,0.920105355575066,645.76,1427.15
GNB,0.1,ECGFiveDays,hbd,simple_cmp,0.8002322880371661,659.83,1536.35
GNB,0.1,ItalyPowerDemand,hbd,simple_cmp,0.8901846452866861,632.1,439.51
GNB,0.1,SonyAIBORobotSurface2,hbd,simple_cmp,0.8006295907660022,633.9,804.73
GNB,0.1,SonyAIBORobotSurface1,hbd,simple_cmp,0.6372712146422629,628.16,628.9
GNB,0.1,Plane,hbd,simple_cmp,0.9523809523809524,623.7,34.79
GNB,0.1,Trace,hbd,simple_cmp,0.76,635.02,37.16
GNB,0.1,SmoothSubspace,hbd,simple_cmp,,,
GNB,0.1,BME,hbd,simple_cmp,0.5533333333333333,654.89,302.59
GNB,0.1,CBF,hbd,simple_cmp,0.92,657.69,1104.17
GNB,0.1,UMD,hbd,simple_cmp,0.6111111111111112,678.06,289.24
GNB,0.1,SyntheticControl,hbd,simple_cmp,0.5733333333333334,612.6,17.92
GNB,0.1,ShapeletSim,hbd,simple_cmp,0.9833333333333332,669.55,570.39
GNB,0.1,Chinatown,hbd,simple_cmp,0.97667638483965,604.98,56.56
GNB,0.1,ECG200,jsd,simple_cmp,0.36,627.65,23.72
GNB,0.1,TwoLeadECG,jsd,simple_cmp,0.6040386303775241,688.59,2442.99
GNB,0.1,ECGFiveDays,jsd,simple_cmp,0.6085946573751452,683.81,12012.82
